-155.881,33.832,6.664,0.657,0.752,-0.058
-155.424,34.355,6.623,0.643,0.764,-0.059
-154.976,34.886,6.582,0.63,0.774,-0.059
-154.537,35.425,6.541,0.617,0.784,-0.06
-154.108,35.972,6.499,0.605,0.794,-0.06
-153.686,36.524,6.457,0.594,0.802,-0.061
-153.273,37.083,6.415,0.583,0.81,-0.061
-152.867,37.647,6.373,0.572,0.818,-0.061
-152.469,38.216,6.33,0.563,0.825,-0.061
-152.077,38.79,6.287,0.553,0.831,-0.061
-151.692,39.368,6.245,0.544,0.837,-0.061
-151.313,39.95,6.202,0.536,0.842,-0.061
-150.94,40.537,6.16,0.528,0.847,-0.06
-150.573,41.126,6.118,0.521,0.852,-0.06
-150.21,41.719,6.076,0.514,0.856,-0.059
-149.852,42.315,6.035,0.508,0.86,-0.058
-149.499,42.913,5.994,0.502,0.863,-0.058
-149.149,43.514,5.954,0.496,0.866,-0.056
-148.804,44.117,5.915,0.491,0.869,-0.055
-148.462,44.722,5.876,0.487,0.872,-0.054
-148.123,45.328,5.838,0.483,0.874,-0.053
-147.787,45.937,5.802,0.479,0.876,-0.051
-147.453,46.547,5.766,0.476,0.878,-0.05
-147.122,47.158,5.731,0.473,0.88,-0.048
-146.793,47.771,5.697,0.47,0.881,-0.047
-146.466,48.384,5.665,0.468,0.883,-0.045
-146.14,48.999,5.633,0.466,0.884,-0.044
-145.816,49.614,5.603,0.464,0.885,-0.042
-145.493,50.23,5.574,0.463,0.886,-0.04
-145.171,50.846,5.545,0.461,0.886,-0.039
-144.849,51.463,5.518,0.461,0.887,-0.037
-144.529,52.081,5.492,0.46,0.887,-0.036
-144.209,52.698,5.468,0.46,0.887,-0.034
-143.889,53.316,5.444,0.46,0.888,-0.033
-143.569,53.934,5.421,0.46,0.887,-0.031
-143.249,54.551,5.399,0.46,0.887,-0.03
-142.928,55.169,5.379,0.461,0.887,-0.028
-142.607,55.787,5.359,0.462,0.886,-0.027
-142.286,56.404,5.341,0.463,0.886,-0.025
-141.963,57.02,5.323,0.465,0.885,-0.024
-141.639,57.636,5.307,0.467,0.884,-0.022
-141.314,58.252,5.291,0.469,0.883,-0.021
-140.988,58.866,5.276,0.471,0.882,-0.02
-140.66,59.48,5.263,0.474,0.88,-0.018
-140.33,60.093,5.25,0.478,0.878,-0.017
-139.997,60.704,5.238,0.481,0.877,-0.016
-139.662,61.314,5.227,0.485,0.874,-0.015
-139.325,61.923,5.217,0.49,0.872,-0.013
-138.984,62.53,5.207,0.494,0.869,-0.012
-138.64,63.135,5.199,0.5,0.866,-0.011
-138.292,63.738,5.191,0.506,0.863,-0.01
-137.94,64.338,5.184,0.512,0.859,-0.009
-137.583,64.936,5.178,0.519,0.855,-0.007
-137.222,65.531,5.173,0.527,0.85,-0.006
-136.856,66.123,5.169,0.535,0.845,-0.005
-136.483,66.711,5.165,0.544,0.839,-0.004
-136.105,67.295,5.162,0.554,0.833,-0.003
-135.719,67.875,5.16,0.564,0.826,-0.002
-135.326,68.45,5.159,0.576,0.818,-0.001
-134.926,69.019,5.159,0.588,0.809,0.001
-134.517,69.582,5.159,0.601,0.799,0.002
-134.099,70.139,5.16,0.615,0.789,0.003
