-0.906,18.71,-5.702,0.0,1.0,0.0
-0.906,126.71,-5.702,0.718,-0.626,0.304
0.216,125.732,-5.226,0.697,-0.65,0.304
1.305,124.717,-4.751,0.668,-0.682,0.298
2.348,123.651,-4.285,0.627,-0.726,0.283
3.327,122.516,-3.843,0.563,-0.786,0.255
4.206,121.288,-3.444,0.457,-0.865,0.207
4.919,119.938,-3.121,0.285,-0.95,0.127
5.363,118.457,-2.922,0.058,-0.998,0.025
5.453,116.901,-2.883,-0.14,-0.988,-0.061
5.235,115.358,-2.978,-0.26,-0.959,-0.11
4.829,113.86,-3.15,-0.32,-0.938,-0.133
4.33,112.394,-3.358,-0.343,-0.929,-0.141
3.793,110.942,-3.579,-0.278,0.952,-0.125
-0.906,127.06,-5.702,0.718,-0.627,0.302
0.269,126.034,-5.207,0.698,-0.648,0.305
1.411,124.974,-4.707,0.671,-0.678,0.3
2.509,123.864,-4.216,0.632,-0.72,0.287
3.543,122.685,-3.747,0.57,-0.779,0.26
4.475,121.409,-3.321,0.464,-0.86,0.211
5.234,120.003,-2.976,0.28,-0.952,0.125
5.691,118.45,-2.772,0.026,-1.0,0.01
5.733,116.819,-2.755,-0.189,-0.978,-0.084
5.424,115.22,-2.892,-0.309,-0.942,-0.133
4.918,113.679,-3.109,-0.365,-0.918,-0.153
4.32,112.176,-3.36,-0.385,-0.909,-0.16
3.69,110.688,-3.622,-0.037,-0.999,-0.017
0.216,17.732,-5.226,-0.01,1.0,-0.004
-0.906,127.411,-5.702,0.718,-0.628,0.3
0.304,126.351,-5.196,0.699,-0.646,0.305
1.483,125.262,-4.681,0.675,-0.673,0.303
2.62,124.127,-4.17,0.639,-0.711,0.292
3.698,122.928,-3.678,0.584,-0.766,0.268
4.682,121.636,-3.227,0.487,-0.844,0.223
5.503,120.214,-2.852,0.306,-0.942,0.138
6.017,118.631,-2.62,0.029,-1.0,0.01
6.066,116.953,-2.603,-0.216,-0.972,-0.097
5.703,115.318,-2.766,-0.348,-0.925,-0.151
5.116,113.759,-3.021,-0.406,-0.897,-0.172
4.431,112.246,-3.311,-0.427,-0.887,-0.179
3.712,110.751,-3.613,-0.026,-1.0,-0.012
1.305,16.717,-4.751,-0.02,1.0,-0.009
-0.906,127.761,-5.702,0.717,-0.631,0.297
0.343,126.662,-5.183,0.7,-0.645,0.305
1.563,125.537,-4.651,0.678,-0.669,0.305
2.745,124.372,-4.119,0.646,-0.703,0.296
